"","company","recruit","period","link_head","link_body","link_head2","link_body2","type"
"85","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","광주 남구 백운동","성별","무관","TOP"
"86","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"87","(주)한국파마","안전관리 약사 모집","~11-06","위치","광주 남구 백운동","경력","경력","TOP"
"88","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","0 명","TOP"
"89","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"90","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"91","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상 , 신입","모집부분","제약유통 > 기타","TOP"
"92","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","제조 / 물류창고 / 비서","TOP"
"93","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","추후협의","학력","학력무관","TOP"
"94","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 강남구 역삼동","성별","무관","TOP"
"95","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"96","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 강남구 역삼동","경력","경력   1년 이상 , 신입","TOP"
"97","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"98","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"99","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"100","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","약국 > 근무약사","TOP"
"101","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","근무약사님, 최고대우 합니다.","TOP"
"102","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","학력무관","TOP"
"103","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","울산 동구 서부동","성별","무관","TOP"
"104","(주)한국파마","안전관리 약사 모집","~11-06","업종","약국","나이","무관","TOP"
"105","(주)한국파마","안전관리 약사 모집","~11-06","위치","울산 동구 서부동","경력","무관","TOP"
"106","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","1 명","TOP"
"107","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"108","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"109","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","병원 > 병원약사","TOP"
"110","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","약사","TOP"
"111","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","면접시 협의","학력","학력무관","TOP"
"112","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 종로구 평동","성별","무관","TOP"
"113","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"114","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 종로구 평동","경력","무관","TOP"
"115","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","3 명","TOP"
"116","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"117","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","계약직 12 개월","-","-","TOP"
"118","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상 , 신입","모집부분","제약유통 > 다직종","TOP"
"119","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","2019.11.5 나우팜컨설팅 최신 채용정보","TOP"
"120","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","면접시 협의","학력","학력무관","TOP"
"121","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 강남구 삼성동","성별","무관","TOP"
"122","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"123","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 강남구 삼성동","경력","경력   1년 이상 , 신입","TOP"
"124","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"125","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"126","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"127","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력","모집부분","병원 > 병원약사","TOP"
"128","(주)한국파마","안전관리 약사 모집","~11-06","학력","학력무관","담당업무","인천보훈병원 약사 공개채용","TOP"
"129","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","학력무관","TOP"
"130","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","인천 미추홀구 용현동","성별","무관","TOP"
"131","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"132","(주)한국파마","안전관리 약사 모집","~11-06","위치","인천 미추홀구 용현동","경력","경력","TOP"
"133","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","1 명","TOP"
"134","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"135","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"136","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   12년 이상","모집부분","제약유통 > 마케팅","TOP"
"137","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","한국로슈 Franchise Manager 경력 - 정규직","TOP"
"138","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"139","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 서초구 서초동","성별","무관","TOP"
"140","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"141","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 서초구 서초동","경력","경력   12년 이상","TOP"
"142","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"143","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"144","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"145","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   10년 이상","모집부분","제약유통 > 마케팅","TOP"
"146","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","한국로슈 Launch Readiness Lead 경력 - 정규직","TOP"
"147","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"148","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 서초구 서초동","성별","무관","TOP"
"149","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"150","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 서초구 서초동","경력","경력   10년 이상","TOP"
"151","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"152","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"153","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"154","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","병원 > 병원약사","TOP"
"155","(주)한국파마","안전관리 약사 모집","~11-06","학력","졸업예정자 , 학력무관","담당업무","2020신규/경력/임상시험센터 약사","TOP"
"156","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","학력","졸업예정자 , 학력무관","TOP"
"157","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","5400만원 ~ 5500만원","성별","무관","TOP"
"158","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","충남 천안시 동남구 봉명동","나이","무관","TOP"
"159","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","경력","무관","TOP"
"160","(주)한국파마","안전관리 약사 모집","~11-06","위치","충남 천안시 동남구 봉명동","인원","자격증","TOP"
"161","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","홈페이지","홈페이지바로가기","TOP"
"162","(주)한국파마","안전관리 약사 모집","~11-06","우대","약학","-","-","TOP"
"163","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상 , 신입","모집부분","제약유통 > 다직종","TOP"
"164","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","도매채권팀원(계약직)/MA추진팀원/MA기획팀원(계약직)/임상개발팀원","TOP"
"165","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"166","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 중구 수하동","성별","무관","TOP"
"167","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"168","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 중구 수하동","경력","경력   1년 이상 , 신입","TOP"
"169","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"170","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"171","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","기타","-","-","TOP"
"172","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","병원 > 병원약사","TOP"
"173","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","조제, 검수 및 복약지도","TOP"
"174","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","5000만원 ~ 5500만원","학력","대졸(4년제)","TOP"
"175","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","경기 성남시 분당구 야탑동","성별","무관","TOP"
"176","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","나이","무관","TOP"
"177","(주)한국파마","안전관리 약사 모집","~11-06","위치","경기 성남시 분당구 야탑동","경력","무관","TOP"
"178","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"179","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"180","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","계약직","-","-","TOP"
"181","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상 , 신입","모집부분","제약유통 > 다직종","TOP"
"182","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","제약사 및 CRO 임상 포지션 채용","TOP"
"183","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","추후협의","학력","대졸(4년제)","TOP"
"184","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 용산구 한강로2가","성별","무관","TOP"
"185","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"186","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 용산구 한강로2가","경력","경력   1년 이상 , 신입","TOP"
"187","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","0 명","TOP"
"188","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"189","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"190","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   3년 이상","모집부분","제약유통 > 마케팅","TOP"
"191","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","Product Manager 채용","TOP"
"192","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","학력","대졸(4년제)","TOP"
"193","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","성별","무관","TOP"
"194","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 송파구 신천동","나이","무관","TOP"
"195","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","경력","경력   3년 이상","TOP"
"196","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 송파구 신천동","인원","우대조건","TOP"
"197","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"198","(주)한국파마","안전관리 약사 모집","~11-06","우대","경영학 , 약학","-","-","TOP"
"199","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","제약유통 > 다직종","TOP"
"200","(주)한국파마","안전관리 약사 모집","~11-06","학력","졸업예정자 , 학력무관","담당업무","2019 하반기 인재모집","TOP"
"201","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","졸업예정자 , 학력무관","TOP"
"202","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 용산구 원효로1가","성별","무관","TOP"
"203","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"204","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 용산구 원효로1가","경력","무관","TOP"
"205","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","-","인원","0 명","TOP"
"206","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"207","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"208","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   2년 이상","모집부분","제약유통 > 일반관리","TOP"
"209","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","Cardio Vascular Thrombosis(CVT) MSL","TOP"
"210","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"211","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 동작구 신대방동","성별","무관","TOP"
"212","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"213","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 동작구 신대방동","경력","경력   2년 이상","TOP"
"214","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"215","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"216","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"217","(주)한국파마","안전관리 약사 모집","~11-06","경력","무관","모집부분","제약유통 > 약사","TOP"
"218","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제) , 졸업예정자","담당업무","Regular Affairs (신입 가능/주 15-20시간 내외 근무)","TOP"
"219","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","추후협의","학력","대졸(4년제) , 졸업예정자","TOP"
"220","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 영등포구 여의도동","성별","무관","TOP"
"221","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"222","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 영등포구 여의도동","경력","무관","TOP"
"223","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"224","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"225","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","기타","-","-","TOP"
"226","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   3년 이상 , 신입","모집부분","제약유통 > 다직종","TOP"
"227","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(2~3년제)","담당업무","바이오사업 / 경영기획 / 홍보 / 공시IR 부문","TOP"
"228","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","학력","대졸(2~3년제)","TOP"
"229","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","면접시 협의","성별","무관","TOP"
"230","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 강남구 대치동","나이","무관","TOP"
"231","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","경력","경력   3년 이상 , 신입","TOP"
"232","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 강남구 대치동","인원","우대조건","TOP"
"233","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","홈페이지","홈페이지바로가기","TOP"
"234","(주)한국파마","안전관리 약사 모집","~11-06","우대","바이오유전공학 , 생물학 , 생명과학 , 의료공학 , 의학 , 약학","-","-","TOP"
"235","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   1년 이상","모집부분","병원 > 병원약사","TOP"
"236","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","목동 힘찬병원 약사","TOP"
"237","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","학력","대졸(4년제)","TOP"
"238","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","면접시 협의","성별","무관","TOP"
"239","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 양천구 목동","나이","무관","TOP"
"240","(주)한국파마","안전관리 약사 모집","~11-06","업종","병원","경력","경력   1년 이상","TOP"
"241","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 양천구 목동","인원","자격증","TOP"
"242","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"243","(주)한국파마","안전관리 약사 모집","~11-06","우대","약학","-","-","TOP"
"244","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   7년 이상","모집부분","제약유통 > 영업","TOP"
"245","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","District Sales Manager","TOP"
"246","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","추후협의","학력","대졸(4년제)","TOP"
"247","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 중구 수하동","성별","무관","TOP"
"248","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"249","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 중구 수하동","경력","경력   7년 이상","TOP"
"250","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"251","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
"252","(주)한국파마","안전관리 약사 모집","~11-06","고용형태","정규직","-","-","TOP"
"253","(주)한국파마","안전관리 약사 모집","~11-06","경력","경력   3년 이상","모집부분","제약유통 > 기타","TOP"
"254","(주)한국파마","안전관리 약사 모집","~11-06","학력","대졸(4년제)","담당업무","Local Project Manage (LPM)","TOP"
"255","(주)한국파마","안전관리 약사 모집","~11-06","급여조건","당사규정에 따름","학력","대졸(4년제)","TOP"
"256","(주)한국파마","안전관리 약사 모집","~11-06","근무지역","서울 동작구 신대방동","성별","무관","TOP"
"257","(주)한국파마","안전관리 약사 모집","~11-06","업종","제약유통","나이","무관","TOP"
"258","(주)한국파마","안전관리 약사 모집","~11-06","위치","서울 동작구 신대방동","경력","경력   3년 이상","TOP"
"259","(주)한국파마","안전관리 약사 모집","~11-06","홈페이지","홈페이지바로가기","인원","0 명","TOP"
"260","(주)한국파마","안전관리 약사 모집","~11-06","우대","-","우대","-","TOP"
